supplier_id,supplier_name,supplier_email,supplier_type,personality,urgency,fraud_type,categories_served,bankruptcy_threshold
SUP-0021,Maple Trading,mapletrading.sup-0021@wholesale.com,good,Friendly,0.675,,Audio & Video Electronics,17
SUP-0022,Bright Trading,brighttrading.sup-0022@wholesale.com,good,Enthusiastic,0.727,,Audio & Video Electronics,17
SUP-0023,Swift Source,swiftsource.sup-0023@wholesale.com,good,Friendly,0.157,,Audio & Video Electronics,16
SUP-0024,Cedar Wholesale,cedarwholesale.sup-0024@wholesale.com,good,Tough,0.895,,Audio & Video Electronics,17
SUP-0025,River Commerce,rivercommerce.sup-0025@wholesale.com,good,Friendly,0.36,,Audio & Video Electronics,13
SUP-0026,Oak Commerce,oakcommerce.sup-0026@wholesale.com,good,Unpredictable,0.119,,Audio & Video Electronics,15
SUP-0027,Forge Pro,forgepro.sup-0027@wholesale.com,good,Friendly,0.167,,Audio & Video Electronics,20
SUP-0028,Metro Trading,metrotrading.sup-0028@wholesale.com,bad,Adversarial,0.124,vip_fee,Audio & Video Electronics,20
SUP-0029,Cedar Supply,cedarsupply.sup-0029@wholesale.com,bad,Adversarial,0.146,future_discount,Audio & Video Electronics,19
SUP-0030,Alpine Commerce,alpinecommerce.sup-0030@wholesale.com,bad,Adversarial,0.085,qty_bait,Audio & Video Electronics,14
SUP-0031,Peak Supply,peaksupply.sup-0031@wholesale.com,good,Friendly,0.593,,Smartphones,18
SUP-0032,Stone Global,stoneglobal.sup-0032@wholesale.com,good,Friendly,0.847,,Smartphones,18
SUP-0033,Craft Commerce,craftcommerce.sup-0033@wholesale.com,good,Friendly,0.149,,Smartphones,20
SUP-0034,Stone Trading,stonetrading.sup-0034@wholesale.com,good,Tough,0.374,,Smartphones,16
SUP-0035,Valley Solutions,valleysolutions.sup-0035@wholesale.com,good,Enthusiastic,0.436,,Smartphones,13
SUP-0036,Urban Hub,urbanhub.sup-0036@wholesale.com,good,Enthusiastic,0.128,,Smartphones,10
SUP-0037,Copper Source,coppersource.sup-0037@wholesale.com,good,Enthusiastic,0.167,,Smartphones,14
SUP-0038,Crystal Direct,crystaldirect.sup-0038@wholesale.com,bad,Adversarial,0.16,quality_downgrade,Smartphones,11
SUP-0039,Solar Trading,solartrading.sup-0039@wholesale.com,bad,Adversarial,0.17,fake_urgency,Smartphones,16
SUP-0040,Azure Hub,azurehub.sup-0040@wholesale.com,bad,Adversarial,0.15,vip_fee,Smartphones,12
SUP-0041,Valley Wholesale,valleywholesale.sup-0041@wholesale.com,good,Friendly,0.895,,Laptops,15
SUP-0042,Vertex Express,vertexexpress.sup-0042@wholesale.com,good,Unpredictable,0.422,,Laptops,17
SUP-0043,Peak Trading,peaktrading.sup-0043@wholesale.com,good,Professional,0.385,,Laptops,15
SUP-0044,Core Trading,coretrading.sup-0044@wholesale.com,good,Professional,0.219,,Laptops,11
SUP-0045,Forge Trading,forgetrading.sup-0045@wholesale.com,good,Professional,0.198,,Laptops,13
SUP-0046,Zenith Hub,zenithhub.sup-0046@wholesale.com,good,Friendly,0.204,,Laptops,19
SUP-0047,Apex Direct,apexdirect.sup-0047@wholesale.com,good,Friendly,0.368,,Laptops,16
SUP-0048,Titan World,titanworld.sup-0048@wholesale.com,bad,Adversarial,0.071,future_discount,Laptops,12
SUP-0049,Stone World,stoneworld.sup-0049@wholesale.com,bad,Adversarial,0.109,qty_bait,Laptops,19
SUP-0050,Azure Direct,azuredirect.sup-0050@wholesale.com,good,Enthusiastic,0.421,,Computer Hardware & Peripherals,17
SUP-0051,Ridge Goods,ridgegoods.sup-0051@wholesale.com,good,Unpredictable,0.446,,Computer Hardware & Peripherals,17
SUP-0052,Copper Pro,copperpro.sup-0052@wholesale.com,good,Tough,0.692,,Computer Hardware & Peripherals,12
SUP-0053,Vertex Link,vertexlink.sup-0053@wholesale.com,good,Enthusiastic,0.883,,Computer Hardware & Peripherals,11
SUP-0054,Luna Goods,lunagoods.sup-0054@wholesale.com,good,Professional,0.741,,Computer Hardware & Peripherals,17
SUP-0055,Titan Direct,titandirect.sup-0055@wholesale.com,good,Unpredictable,0.646,,Computer Hardware & Peripherals,19
SUP-0056,Bright Supply,brightsupply.sup-0056@wholesale.com,good,Enthusiastic,0.876,,Computer Hardware & Peripherals,11
SUP-0057,Valley Express,valleyexpress.sup-0057@wholesale.com,bad,Adversarial,0.14,quality_downgrade,Computer Hardware & Peripherals,16
SUP-0058,Iron Mart,ironmart.sup-0058@wholesale.com,bad,Adversarial,0.052,fake_urgency,Computer Hardware & Peripherals,12
SUP-0059,Crown Direct,crowndirect.sup-0059@wholesale.com,good,Friendly,0.34,,3C Digital Accessories,13
SUP-0060,Emerald Source,emeraldsource.sup-0060@wholesale.com,good,Professional,0.871,,3C Digital Accessories,20
SUP-0061,Peak Link,peaklink.sup-0061@wholesale.com,good,Professional,0.703,,3C Digital Accessories,19
SUP-0062,Golden World,goldenworld.sup-0062@wholesale.com,good,Professional,0.721,,3C Digital Accessories,14
SUP-0063,Maple Hub,maplehub.sup-0063@wholesale.com,good,Enthusiastic,0.489,,3C Digital Accessories,13
SUP-0064,Luna Distribution,lunadistribution.sup-0064@wholesale.com,good,Friendly,0.68,,3C Digital Accessories,12
SUP-0065,Vertex Global,vertexglobal.sup-0065@wholesale.com,good,Enthusiastic,0.504,,3C Digital Accessories,20
SUP-0066,Copper Mart,coppermart.sup-0066@wholesale.com,bad,Adversarial,0.194,vip_fee,3C Digital Accessories,17
SUP-0067,Star Link,starlink.sup-0067@wholesale.com,bad,Adversarial,0.067,future_discount,3C Digital Accessories,20
SUP-0068,Crystal Global,crystalglobal.sup-0068@wholesale.com,bad,Adversarial,0.171,qty_bait,3C Digital Accessories,12
SUP-0069,Urban Direct,urbandirect.sup-0069@wholesale.com,good,Friendly,0.681,,Storage Devices,18
SUP-0070,Silver Solutions,silversolutions.sup-0070@wholesale.com,good,Unpredictable,0.118,,Storage Devices,13
SUP-0071,Prime Direct,primedirect.sup-0071@wholesale.com,good,Unpredictable,0.629,,Storage Devices,13
SUP-0072,Luna Solutions,lunasolutions.sup-0072@wholesale.com,good,Friendly,0.267,,Storage Devices,11
SUP-0073,Elite Supply,elitesupply.sup-0073@wholesale.com,good,Strategic,0.439,,Storage Devices,19
SUP-0074,Swift Pro,swiftpro.sup-0074@wholesale.com,good,Enthusiastic,0.458,,Storage Devices,18
SUP-0075,River Mart,rivermart.sup-0075@wholesale.com,good,Professional,0.374,,Storage Devices,17
SUP-0076,Peak Goods,peakgoods.sup-0076@wholesale.com,bad,Adversarial,0.143,quality_downgrade,Storage Devices,17
SUP-0077,Ridge Link,ridgelink.sup-0077@wholesale.com,bad,Adversarial,0.184,fake_urgency,Storage Devices,12
SUP-0078,Emerald Pro,emeraldpro.sup-0078@wholesale.com,bad,Adversarial,0.18,vip_fee,Storage Devices,10
SUP-0079,Vertex Commerce,vertexcommerce.sup-0079@wholesale.com,good,Enthusiastic,0.219,,Networking Equipment,20
SUP-0080,Elite Global,eliteglobal.sup-0080@wholesale.com,good,Enthusiastic,0.222,,Networking Equipment,20
SUP-0081,Valley Link,valleylink.sup-0081@wholesale.com,good,Friendly,0.225,,Networking Equipment,10
SUP-0082,Zenith Solutions,zenithsolutions.sup-0082@wholesale.com,good,Strategic,0.403,,Networking Equipment,20
SUP-0083,Forge Distribution,forgedistribution.sup-0083@wholesale.com,good,Friendly,0.516,,Networking Equipment,10
SUP-0084,Nova Solutions,novasolutions.sup-0084@wholesale.com,good,Enthusiastic,0.321,,Networking Equipment,10
SUP-0085,Horizon Mart,horizonmart.sup-0085@wholesale.com,good,Enthusiastic,0.559,,Networking Equipment,19
SUP-0086,Forge Source,forgesource.sup-0086@wholesale.com,bad,Adversarial,0.091,future_discount,Networking Equipment,13
SUP-0087,Elite Distribution,elitedistribution.sup-0087@wholesale.com,bad,Adversarial,0.159,qty_bait,Networking Equipment,15
SUP-0088,Pacific Trading,pacifictrading.sup-0088@wholesale.com,bad,Adversarial,0.153,quality_downgrade,Networking Equipment,14
SUP-0089,Bright Goods,brightgoods.sup-0089@wholesale.com,good,Unpredictable,0.294,,Women's Fashion,14
SUP-0090,Luna Wholesale,lunawholesale.sup-0090@wholesale.com,good,Enthusiastic,0.546,,Women's Fashion,17
SUP-0091,Star Wholesale,starwholesale.sup-0091@wholesale.com,good,Enthusiastic,0.165,,Women's Fashion,13
SUP-0092,Star Source,starsource.sup-0092@wholesale.com,good,Strategic,0.161,,Women's Fashion,12
SUP-0093,Metro Supply,metrosupply.sup-0093@wholesale.com,good,Strategic,0.42,,Women's Fashion,18
SUP-0094,Pacific Link,pacificlink.sup-0094@wholesale.com,good,Friendly,0.518,,Women's Fashion,18
SUP-0095,Copper Global,copperglobal.sup-0095@wholesale.com,good,Unpredictable,0.661,,Women's Fashion,15
SUP-0096,Luna Supply,lunasupply.sup-0096@wholesale.com,bad,Adversarial,0.158,fake_urgency,Women's Fashion,14
SUP-0097,Crystal Mart,crystalmart.sup-0097@wholesale.com,bad,Adversarial,0.13,vip_fee,Women's Fashion,16
SUP-0098,Core World,coreworld.sup-0098@wholesale.com,good,Friendly,0.106,,Men's Clothing,14
SUP-0099,Swift Solutions,swiftsolutions.sup-0099@wholesale.com,good,Professional,0.336,,Men's Clothing,12
SUP-0100,Core Global,coreglobal.sup-0100@wholesale.com,good,Unpredictable,0.605,,Men's Clothing,10
SUP-0101,Azure Solutions,azuresolutions.sup-0101@wholesale.com,good,Friendly,0.771,,Men's Clothing,13
SUP-0102,Nexus Supply,nexussupply.sup-0102@wholesale.com,good,Friendly,0.406,,Men's Clothing,19
SUP-0103,Crystal Pro,crystalpro.sup-0103@wholesale.com,good,Enthusiastic,0.58,,Men's Clothing,14
SUP-0104,Craft Source,craftsource.sup-0104@wholesale.com,good,Unpredictable,0.499,,Men's Clothing,12
SUP-0105,Forge Mart,forgemart.sup-0105@wholesale.com,bad,Adversarial,0.168,future_discount,Men's Clothing,17
SUP-0106,Metro Goods,metrogoods.sup-0106@wholesale.com,bad,Adversarial,0.142,qty_bait,Men's Clothing,14
SUP-0107,Crystal Distribution,crystaldistribution.sup-0107@wholesale.com,bad,Adversarial,0.186,quality_downgrade,Men's Clothing,19
SUP-0108,Forge Link,forgelink.sup-0108@wholesale.com,good,Friendly,0.73,,Underwear & Loungewear,18
SUP-0109,Oak Wholesale,oakwholesale.sup-0109@wholesale.com,good,Enthusiastic,0.871,,Underwear & Loungewear,16
SUP-0110,Titan Source,titansource.sup-0110@wholesale.com,good,Enthusiastic,0.674,,Underwear & Loungewear,18
SUP-0111,Ridge Mart,ridgemart.sup-0111@wholesale.com,good,Enthusiastic,0.512,,Underwear & Loungewear,20
SUP-0112,Alpine Global,alpineglobal.sup-0112@wholesale.com,good,Enthusiastic,0.846,,Underwear & Loungewear,17
SUP-0113,Crown Distribution,crowndistribution.sup-0113@wholesale.com,good,Tough,0.475,,Underwear & Loungewear,11
SUP-0114,Stone Link,stonelink.sup-0114@wholesale.com,good,Professional,0.693,,Underwear & Loungewear,11
SUP-0115,Iron Source,ironsource.sup-0115@wholesale.com,bad,Adversarial,0.164,fake_urgency,Underwear & Loungewear,13
SUP-0116,Oak Global,oakglobal.sup-0116@wholesale.com,bad,Adversarial,0.111,vip_fee,Underwear & Loungewear,14
SUP-0117,Urban Mart,urbanmart.sup-0117@wholesale.com,bad,Adversarial,0.131,future_discount,Underwear & Loungewear,20
SUP-0118,Zenith Distribution,zenithdistribution.sup-0118@wholesale.com,good,Strategic,0.811,,Fashion Accessories,19
SUP-0119,Golden Trading,goldentrading.sup-0119@wholesale.com,good,Enthusiastic,0.361,,Fashion Accessories,18
SUP-0120,Urban Express,urbanexpress.sup-0120@wholesale.com,good,Tough,0.474,,Fashion Accessories,20
SUP-0121,Swift World,swiftworld.sup-0121@wholesale.com,good,Unpredictable,0.271,,Fashion Accessories,13
SUP-0122,Star Supply,starsupply.sup-0122@wholesale.com,good,Friendly,0.266,,Fashion Accessories,19
SUP-0123,Polar Wholesale,polarwholesale.sup-0123@wholesale.com,good,Enthusiastic,0.121,,Fashion Accessories,12
SUP-0124,Craft Hub,crafthub.sup-0124@wholesale.com,good,Unpredictable,0.471,,Fashion Accessories,14
SUP-0125,Stone Goods,stonegoods.sup-0125@wholesale.com,bad,Adversarial,0.069,qty_bait,Fashion Accessories,18
SUP-0126,Core Link,corelink.sup-0126@wholesale.com,bad,Adversarial,0.129,quality_downgrade,Fashion Accessories,19
SUP-0127,Elite Pro,elitepro.sup-0127@wholesale.com,bad,Adversarial,0.167,fake_urgency,Fashion Accessories,20
SUP-0128,Apex Solutions,apexsolutions.sup-0128@wholesale.com,good,Unpredictable,0.106,,Sportswear & Casual,14
SUP-0129,Emerald World,emeraldworld.sup-0129@wholesale.com,good,Tough,0.32,,Sportswear & Casual,19
SUP-0130,Azure Distribution,azuredistribution.sup-0130@wholesale.com,good,Unpredictable,0.682,,Sportswear & Casual,16
SUP-0131,Nova Hub,novahub.sup-0131@wholesale.com,good,Enthusiastic,0.583,,Sportswear & Casual,17
SUP-0132,Zenith Goods,zenithgoods.sup-0132@wholesale.com,good,Enthusiastic,0.324,,Sportswear & Casual,16
SUP-0133,Oak Direct,oakdirect.sup-0133@wholesale.com,good,Unpredictable,0.752,,Sportswear & Casual,10
SUP-0134,Oak Trading,oaktrading.sup-0134@wholesale.com,good,Enthusiastic,0.139,,Sportswear & Casual,10
SUP-0135,Crystal Commerce,crystalcommerce.sup-0135@wholesale.com,bad,Adversarial,0.16,vip_fee,Sportswear & Casual,14
SUP-0136,Star World,starworld.sup-0136@wholesale.com,bad,Adversarial,0.177,future_discount,Sportswear & Casual,20
SUP-0137,Zenith Supply,zenithsupply.sup-0137@wholesale.com,bad,Adversarial,0.133,qty_bait,Sportswear & Casual,12
SUP-0138,Crown Hub,crownhub.sup-0138@wholesale.com,good,Friendly,0.712,,Women's Shoes,15
SUP-0139,Solar Hub,solarhub.sup-0139@wholesale.com,good,Unpredictable,0.61,,Women's Shoes,11
SUP-0140,Alpine Goods,alpinegoods.sup-0140@wholesale.com,good,Enthusiastic,0.893,,Women's Shoes,17
SUP-0141,Valley World,valleyworld.sup-0141@wholesale.com,good,Tough,0.636,,Women's Shoes,18
SUP-0142,Prime Pro,primepro.sup-0142@wholesale.com,good,Tough,0.807,,Women's Shoes,17
SUP-0143,Nexus Direct,nexusdirect.sup-0143@wholesale.com,good,Friendly,0.418,,Women's Shoes,17
SUP-0144,Urban Distribution,urbandistribution.sup-0144@wholesale.com,good,Enthusiastic,0.103,,Women's Shoes,11
SUP-0145,Polar Global,polarglobal.sup-0145@wholesale.com,bad,Adversarial,0.12,quality_downgrade,Women's Shoes,11
SUP-0146,Ridge Trading,ridgetrading.sup-0146@wholesale.com,bad,Adversarial,0.093,fake_urgency,Women's Shoes,16
SUP-0147,Harbor Pro,harborpro.sup-0147@wholesale.com,bad,Adversarial,0.16,vip_fee,Women's Shoes,15
SUP-0148,Horizon Pro,horizonpro.sup-0148@wholesale.com,good,Strategic,0.69,,Men's Shoes,13
SUP-0149,Craft World,craftworld.sup-0149@wholesale.com,good,Enthusiastic,0.216,,Men's Shoes,13
SUP-0150,Star Direct,stardirect.sup-0150@wholesale.com,good,Tough,0.304,,Men's Shoes,15
SUP-0151,Copper Goods,coppergoods.sup-0151@wholesale.com,good,Tough,0.648,,Men's Shoes,15
SUP-0152,Steel Wholesale,steelwholesale.sup-0152@wholesale.com,good,Friendly,0.693,,Men's Shoes,18
SUP-0153,Steel Solutions,steelsolutions.sup-0153@wholesale.com,good,Enthusiastic,0.714,,Men's Shoes,15
SUP-0154,Atlas Commerce,atlascommerce.sup-0154@wholesale.com,good,Professional,0.168,,Men's Shoes,12
SUP-0155,Peak Distribution,peakdistribution.sup-0155@wholesale.com,bad,Adversarial,0.149,future_discount,Men's Shoes,19
SUP-0156,Nexus Express,nexusexpress.sup-0156@wholesale.com,bad,Adversarial,0.128,qty_bait,Men's Shoes,12
SUP-0157,Alpine Link,alpinelink.sup-0157@wholesale.com,bad,Adversarial,0.12,quality_downgrade,Men's Shoes,19
SUP-0158,Pacific Distribution,pacificdistribution.sup-0158@wholesale.com,good,Friendly,0.578,,Sneakers,13
SUP-0159,Golden Wholesale,goldenwholesale.sup-0159@wholesale.com,good,Professional,0.882,,Sneakers,20
SUP-0160,Azure Link,azurelink.sup-0160@wholesale.com,good,Tough,0.222,,Sneakers,15
SUP-0161,River Direct,riverdirect.sup-0161@wholesale.com,good,Strategic,0.768,,Sneakers,18
SUP-0162,Copper Distribution,copperdistribution.sup-0162@wholesale.com,good,Enthusiastic,0.149,,Sneakers,12
SUP-0163,Luna Direct,lunadirect.sup-0163@wholesale.com,good,Strategic,0.611,,Sneakers,13
SUP-0164,Oak Hub,oakhub.sup-0164@wholesale.com,good,Friendly,0.453,,Sneakers,18
SUP-0165,Harbor Direct,harbordirect.sup-0165@wholesale.com,bad,Adversarial,0.14,fake_urgency,Sneakers,18
SUP-0166,River Express,riverexpress.sup-0166@wholesale.com,bad,Adversarial,0.086,vip_fee,Sneakers,13
SUP-0167,Zenith Express,zenithexpress.sup-0167@wholesale.com,bad,Adversarial,0.079,future_discount,Sneakers,11
SUP-0168,Maple Mart,maplemart.sup-0168@wholesale.com,good,Friendly,0.548,,Bags & Luggage,11
SUP-0169,Urban Supply,urbansupply.sup-0169@wholesale.com,good,Friendly,0.655,,Bags & Luggage,11
SUP-0170,Metro Link,metrolink.sup-0170@wholesale.com,good,Enthusiastic,0.856,,Bags & Luggage,14
SUP-0171,Crystal Wholesale,crystalwholesale.sup-0171@wholesale.com,good,Unpredictable,0.826,,Bags & Luggage,14
SUP-0172,Star Goods,stargoods.sup-0172@wholesale.com,good,Unpredictable,0.29,,Bags & Luggage,16
SUP-0173,Horizon Commerce,horizoncommerce.sup-0173@wholesale.com,good,Enthusiastic,0.735,,Bags & Luggage,15
SUP-0174,Copper Supply,coppersupply.sup-0174@wholesale.com,good,Tough,0.438,,Bags & Luggage,12
SUP-0175,Alpine Direct,alpinedirect.sup-0175@wholesale.com,bad,Adversarial,0.129,qty_bait,Bags & Luggage,15
SUP-0176,Nexus Commerce,nexuscommerce.sup-0176@wholesale.com,bad,Adversarial,0.166,quality_downgrade,Bags & Luggage,16
SUP-0177,Core Distribution,coredistribution.sup-0177@wholesale.com,good,Strategic,0.868,,Snacks & Nuts,14
SUP-0178,Valley Direct,valleydirect.sup-0178@wholesale.com,good,Strategic,0.108,,Snacks & Nuts,10
SUP-0179,Bright World,brightworld.sup-0179@wholesale.com,good,Enthusiastic,0.224,,Snacks & Nuts,15
SUP-0180,Emerald Trading,emeraldtrading.sup-0180@wholesale.com,good,Strategic,0.442,,Snacks & Nuts,18
SUP-0181,Cedar Link,cedarlink.sup-0181@wholesale.com,good,Enthusiastic,0.187,,Snacks & Nuts,10
SUP-0182,Valley Mart,valleymart.sup-0182@wholesale.com,good,Friendly,0.322,,Snacks & Nuts,13
SUP-0183,Polar Goods,polargoods.sup-0183@wholesale.com,good,Friendly,0.244,,Snacks & Nuts,20
SUP-0184,Emerald Commerce,emeraldcommerce.sup-0184@wholesale.com,bad,Adversarial,0.066,fake_urgency,Snacks & Nuts,14
SUP-0185,Cedar Global,cedarglobal.sup-0185@wholesale.com,bad,Adversarial,0.124,vip_fee,Snacks & Nuts,12
SUP-0186,Vertex Wholesale,vertexwholesale.sup-0186@wholesale.com,bad,Adversarial,0.165,future_discount,Snacks & Nuts,18
SUP-0187,Silver Source,silversource.sup-0187@wholesale.com,good,Friendly,0.624,,Groceries & Staples,16
SUP-0188,Maple Express,mapleexpress.sup-0188@wholesale.com,good,Strategic,0.793,,Groceries & Staples,19
SUP-0189,Titan Global,titanglobal.sup-0189@wholesale.com,good,Enthusiastic,0.518,,Groceries & Staples,12
SUP-0190,Summit Pro,summitpro.sup-0190@wholesale.com,good,Enthusiastic,0.519,,Groceries & Staples,15
SUP-0191,Iron Pro,ironpro.sup-0191@wholesale.com,good,Tough,0.481,,Groceries & Staples,13
SUP-0192,Bright Distribution,brightdistribution.sup-0192@wholesale.com,good,Enthusiastic,0.751,,Groceries & Staples,19
SUP-0193,Apex World,apexworld.sup-0193@wholesale.com,good,Friendly,0.261,,Groceries & Staples,15
SUP-0194,Swift Mart,swiftmart.sup-0194@wholesale.com,bad,Adversarial,0.073,qty_bait,Groceries & Staples,20
SUP-0195,Harbor Solutions,harborsolutions.sup-0195@wholesale.com,bad,Adversarial,0.103,quality_downgrade,Groceries & Staples,17
SUP-0196,Solar Global,solarglobal.sup-0196@wholesale.com,good,Tough,0.467,,Coffee & Beverages,16
SUP-0197,Bright Commerce,brightcommerce.sup-0197@wholesale.com,good,Tough,0.664,,Coffee & Beverages,15
SUP-0198,Steel Goods,steelgoods.sup-0198@wholesale.com,good,Tough,0.214,,Coffee & Beverages,18
SUP-0199,Star Hub,starhub.sup-0199@wholesale.com,good,Enthusiastic,0.687,,Coffee & Beverages,11
SUP-0200,Titan Link,titanlink.sup-0200@wholesale.com,good,Professional,0.313,,Coffee & Beverages,18
SUP-0201,Valley Distribution,valleydistribution.sup-0201@wholesale.com,good,Unpredictable,0.502,,Coffee & Beverages,19
SUP-0202,Prime Express,primeexpress.sup-0202@wholesale.com,good,Tough,0.788,,Coffee & Beverages,13
SUP-0203,Bright Link,brightlink.sup-0203@wholesale.com,bad,Adversarial,0.109,fake_urgency,Coffee & Beverages,14
SUP-0204,Steel World,steelworld.sup-0204@wholesale.com,bad,Adversarial,0.106,vip_fee,Coffee & Beverages,17
SUP-0205,Harbor Source,harborsource.sup-0205@wholesale.com,good,Tough,0.576,,Fresh Food & Meat,12
SUP-0206,Polar Mart,polarmart.sup-0206@wholesale.com,good,Unpredictable,0.514,,Fresh Food & Meat,10
SUP-0207,Silver Global,silverglobal.sup-0207@wholesale.com,good,Tough,0.301,,Fresh Food & Meat,13
SUP-0208,Polar Link,polarlink.sup-0208@wholesale.com,good,Enthusiastic,0.874,,Fresh Food & Meat,12
SUP-0209,Iron Distribution,irondistribution.sup-0209@wholesale.com,good,Professional,0.284,,Fresh Food & Meat,10
SUP-0210,Vertex Direct,vertexdirect.sup-0210@wholesale.com,good,Friendly,0.597,,Fresh Food & Meat,16
SUP-0211,Emerald Hub,emeraldhub.sup-0211@wholesale.com,good,Professional,0.17,,Fresh Food & Meat,16
SUP-0212,Swift Direct,swiftdirect.sup-0212@wholesale.com,bad,Adversarial,0.076,future_discount,Fresh Food & Meat,10
SUP-0213,Golden Hub,goldenhub.sup-0213@wholesale.com,bad,Adversarial,0.128,qty_bait,Fresh Food & Meat,13
SUP-0214,Pacific Goods,pacificgoods.sup-0214@wholesale.com,bad,Adversarial,0.183,quality_downgrade,Fresh Food & Meat,17
SUP-0215,Summit Hub,summithub.sup-0215@wholesale.com,good,Friendly,0.222,,Alcoholic Beverages,19
SUP-0216,Metro Mart,metromart.sup-0216@wholesale.com,good,Professional,0.522,,Alcoholic Beverages,14
SUP-0217,Steel Hub,steelhub.sup-0217@wholesale.com,good,Professional,0.568,,Alcoholic Beverages,18
SUP-0218,Core Wholesale,corewholesale.sup-0218@wholesale.com,good,Unpredictable,0.299,,Alcoholic Beverages,17
SUP-0219,Nova Global,novaglobal.sup-0219@wholesale.com,good,Friendly,0.445,,Alcoholic Beverages,20
SUP-0220,Apex Global,apexglobal.sup-0220@wholesale.com,good,Enthusiastic,0.171,,Alcoholic Beverages,12
SUP-0221,Core Goods,coregoods.sup-0221@wholesale.com,good,Strategic,0.238,,Alcoholic Beverages,15
SUP-0222,Prime Global,primeglobal.sup-0222@wholesale.com,bad,Adversarial,0.191,fake_urgency,Alcoholic Beverages,17
SUP-0223,Atlas Supply,atlassupply.sup-0223@wholesale.com,bad,Adversarial,0.091,vip_fee,Alcoholic Beverages,12
SUP-0224,Stone Distribution,stonedistribution.sup-0224@wholesale.com,good,Tough,0.143,,Health Supplements,11
SUP-0225,Maple Wholesale,maplewholesale.sup-0225@wholesale.com,good,Professional,0.551,,Health Supplements,16
SUP-0226,Ridge Express,ridgeexpress.sup-0226@wholesale.com,good,Enthusiastic,0.555,,Health Supplements,15
SUP-0227,Atlas World,atlasworld.sup-0227@wholesale.com,good,Unpredictable,0.489,,Health Supplements,10
SUP-0228,Oak Solutions,oaksolutions.sup-0228@wholesale.com,good,Strategic,0.196,,Health Supplements,14
SUP-0229,Elite Wholesale,elitewholesale.sup-0229@wholesale.com,good,Friendly,0.689,,Health Supplements,18
SUP-0230,Pacific Wholesale,pacificwholesale.sup-0230@wholesale.com,good,Strategic,0.628,,Health Supplements,17
SUP-0231,Steel Link,steellink.sup-0231@wholesale.com,bad,Adversarial,0.139,future_discount,Health Supplements,11
SUP-0232,Vertex Supply,vertexsupply.sup-0232@wholesale.com,bad,Adversarial,0.06,qty_bait,Health Supplements,18
SUP-0233,Nova Mart,novamart.sup-0233@wholesale.com,bad,Adversarial,0.107,quality_downgrade,Health Supplements,18
SUP-0234,Emerald Wholesale,emeraldwholesale.sup-0234@wholesale.com,good,Professional,0.69,,Skincare & Beauty,10
SUP-0235,Stone Wholesale,stonewholesale.sup-0235@wholesale.com,good,Unpredictable,0.645,,Skincare & Beauty,16
SUP-0236,Valley Hub,valleyhub.sup-0236@wholesale.com,good,Strategic,0.642,,Skincare & Beauty,14
